,Unnamed: 0,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,date_stamp,last_change,listing_date,delisting_date,month,new_listing_count,listing_count,year_id,month_id
0,0,NK-2kLa63Qa2yXPxpd3zCFrwt,LegalEntity,Sovcombank,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
1,1,NK-32NYYLd4iT2JDc2pukDRqY,LegalEntity,Bank Dabrabyt,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
2,2,NK-3TSuSKtWtcuB3qBdLC8Y8d,Vessel,UL JI BONG 6,,,,,9114555,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
3,3,NK-4C4LEUKsLKwUnJmGeJjnp2,LegalEntity,ROSNEFT,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
4,4,NK-4JYGfcjP3Frn24sYQ3ZXE2,Vessel,PAEK MA,,,,,9066978,DPRK vessel M/V PAEK MA was involved in ship-to-ship transfer operations for oil in mid-January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
5,5,NK-4TAo3sMMLRhrZPioxA9wTs,LegalEntity,Pervyi Kanal,,,,,,"""""",,,EU Sanctions Map,20230310,,20230310,,2023-03,10,10,2023,3
6,6,NK-5AQirS6LTe4idMV6rrg7a7,LegalEntity,"Joint Stock Company Russian Agricultural Bank, JSC Rosselkhozbank",,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
7,7,NK-5W3TkdPYPNiGfhzMWR9YSa,Vessel,DONG FENG 6,,,,,9008201,"M/V DONG FENG 6 loaded DPRK coal at Hamhung, DPRK, on 11 July 2017, for export in violation of UN sanctions.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
8,8,NK-5oZE9HNa8MoJ7Er353WMH3,LegalEntity,GAZPROMBANK,Gazprombank,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
9,9,NK-5xU2etvgAmWmnF83t6xqWb,LegalEntity,RT - Russia Today English,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
10,10,NK-62i6wxQqnPoKDcLxo8DgJu,LegalEntity,Belinvestbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
11,11,NK-7RbMEBZLorCnYC4dqgk6J7,LegalEntity,ROSSELKHOZBANK,Rosselkhozbank;Sovcombank,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
12,12,NK-7xEz6np8z3gaSQpvCqxHid,LegalEntity,TV Centre International,,,,,,"""""",,,EU Sanctions Map,20220624,,20220624,,2022-06,15,15,2022,4
13,13,NK-829xBuVEFg5nzpgkVQbLtU,Person,Mahamadou AG RHISSA,,,,,,"""""",,,EU Sanctions Map,20221109,,20221109,,2022-11,2,2,2022,5
14,14,NK-8XctuQGpdX7RBkHgSS5agK,LegalEntity,Promsvyazbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
15,15,NK-9E2E97i4LRwgST9SuDvz5h,Vessel,HUA FU,,,,,9020003,"M/V HUA FU loaded DPRK coal at Najin, DPRK, on 24 September 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
16,16,NK-9p99jRNgxWSpaWHP8BTBJ7,Vessel,HAO FAN 2,,,,,8747604,"M/V HAO FAN 2 loaded DPRK coal at Nampo, DPRK, on 3 June 2017, for export in violation of UN sanctions.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
17,17,NK-AFN3teaxrTpMSeAtfKKGNu,Vessel,KOTI,,,,,9417115,"M/V KOTI engaged in a ship-to-ship transfer, likely for oil, with M/V KUM UN SAN 3 on 9 December 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
18,18,NK-Av9eGC6udD3YreqdM2Zb3f,LegalEntity,Sputnik,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
19,19,NK-BVqo6qCdREbompfYArsMyN,LegalEntity,Oriental Review,,,,,,"""""",,,EU Sanctions Map,20230705,2023-07-04T12:03:21,20230705,,2023-07,7,7,2023,6
20,20,NK-Bco5R3TmhNkEBNg2SrxpcS,LegalEntity,Belarusbank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
21,21,NK-CC255tPHZcZqCC8Kuo8ZDs,LegalEntity,Rossiya 24 / Russia 24,,,,,,"""""",,,EU Sanctions Map,20220702,,20220702,,2022-07,12,12,2022,1
22,22,NK-Cs9qe4edFivYSkYadpz9Dd,LegalEntity,RT - Russia Today German,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
23,23,NK-EHbKWEsXdWP5vtSf8Lgc7d,LegalEntity,UNITED AIRCRAFT CORPORATION,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
24,24,NK-EL5cFqL5pRrFRBSUjny38g,LegalEntity,Sovcomflot,SOVCOMFLOT,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
25,25,NK-Fn3PoeCRFaHJ6yeswXyWYp,Vessel,HAO FAN 6,,,,,341985000;8628597,";M/V HAO FAN 6 loaded DPRK coal at Nampo, DPRK, on 27 August 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
26,26,NK-GwtovCwQLJ7PeGx9ASF4wb,Vessel,TONG SAN 2,,,,,445539000;8937675,"""""",,,EU Sanctions Map,20230814,2023-04-20T12:14:15,20230814,,2023-08,3,3,2023,7
27,27,NK-H7s6hjcrcx846KWw3FzENL,Vessel,SAM MA 2,,,,,8106496,"DPRK oil tanker M/V SAM MA 2 imported refined petroleum products in October, early November and mid-November 2017 through multiple ship-to-ship transfers.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
28,28,NK-HGtGaDeoaKCn6ETFaTrC6a,LegalEntity,Rossiya RTR / RTR Planeta,,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
29,29,NK-HKzdvQ2svrzLzYRXMkQqsk,LegalEntity,Russian Maritime Register of Shipping,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
30,30,NK-HXCFsGQQhNBkX935MAirsN,LegalEntity,Russian Railways,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
31,31,NK-Ju9jV8xGUy4jTMnpK2HKqN,Person,Quren Salih Quren AL-QADHAFI,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
32,32,NK-K67GZRhWoAT5UC4XM2YMke,LegalEntity,TRANSNEFT,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
33,33,NK-KFXHhhUrkohD4Hs7ZeNcqU,LegalEntity,Credit Bank of Moscow,,,,,,"""""",,,EU Sanctions Map,20220620,,20220620,,2022-06,15,15,2022,4
34,34,NK-KrEDHEbinZhHDmCMdW5Ctf,Vessel,SHANG YUAN BAO,,,,,8126070,"The merchant vessel M/V SHANG YUAN BAO engaged in a ship-to-ship transfer, likely for oil, with UN-designated DPRK vessel M/V PAEK MA on May 18, 2018. The SHANG YUAN BAO also engaged in a ship-to-ship transfer, likely for oil, with the DPRK vessel MYONG RYU 1 on June 2, 2018.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
35,35,NK-KuowZnSPUYEUwkYUSXZwgg,LegalEntity,New Eastern Outlook,,,,,,"""""",,,EU Sanctions Map,20230705,2023-07-04T12:03:21,20230705,,2023-07,7,7,2023,6
36,36,NK-N5dqMgKGf3hcmM48goJH8T,Vessel,HAP JANG GANG 6,,,,,9066540,DPRK cargo vessel M/V HAP JANG GANG 6 is owned by Hapjanggang Shipping Corp and is believed to have been involved in illicit transfers of prohibited DPRK goods.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
37,37,NK-Nb5LnreyuSSrcoHmqyngBp,Vessel,ASIA BRIDGE 1,,,,,8916580,"M/V ASIA BRIDGE 1 loaded DPRK coal at Nampo, DPRK, on 22 October 2017 and transferred it to Cam Pha,Vietnam.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
38,38,NK-NxfegzB2dEPnBsJyZsu2HE,Person,Mohamed OUSMANE MOHAMEDOUNE (alias: a) Ousmane Mahamadou; b) Mohamed Ousmane),,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
39,39,NK-PKohHz8E8LVL9VoJAgAAsk,LegalEntity,ROSSELKHOZBANK,"Joint Stock Company Russian Agricultural Bank, JSC Rosselkhozbank;Rosselkhozbank",,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
40,40,NK-PuHgnjoWAgHGUJacpcFmBo,LegalEntity,Kamaz,KAMAZ,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
41,41,NK-PyGc2aMV8UWAGBtTyLC5o7,LegalEntity,Bank Dabrabyt,,,,,,"""""",,,EU Sanctions Map,20220608,,20220608,,2022-06,15,15,2022,4
42,42,NK-Q2UkkGgQpeU7femaMrXgEX,LegalEntity,Promsvyazbank,,,,,,"""""",,,EU Sanctions Map,20220718,,20220718,,2022-07,12,12,2022,1
43,43,NK-Q3HLYNmadXCwq8ijdx68EG,LegalEntity,RT - Russia Today UK,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
44,44,NK-QgduU2KDARwsWfZnP7UxRB,Vessel,SAM JONG 1,,,,,8405311,Other information: DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018. - DPRK merchant vessel M/V SAM JONG 1 was involved in ship-to-ship transfer operations of oil in late January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
45,45,NK-R6ctDLCn6T2JP2m9VrTGWn,Vessel,YU PHYONG 5,,,,,8605026,"DPRK merchant vessel M/V YU PHONG 5 imported refined petroleum products to Nampo, DPRK, on 29 November 2017 through a ship-to-ship transfer conducted on 26 November 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
46,46,NK-RTkZM4W3eEiX8QUjDccSjK,Vessel,WOORY STAR,,,,,8408595,DPRK cargo vessel M/V WOORY STAR is believed to have been involved in illicit transfers of prohibited DPRK goods.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
47,47,NK-Rmn74GQyyYCc2tMsCKb4UD,Vessel,JIN HYE,,,,,8518572,M/V JIN HYE engaged in a ship-to-ship transfer with M/V CHON MA SAN on 16 December 2017.,,,EU Sanctions Map,20230817,2023-04-20T12:14:15,20230817,,2023-08,3,3,2023,7
48,48,NK-Rz65v3obWVsWxBcPfhGvhu,LegalEntity,SBERBANK,Sberbank,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
49,49,NK-SErPC3E3w3N2aByz652Qhb,LegalEntity,Alfa Bank,,,,,,"""""",,,EU Sanctions Map,20220608,,20220608,,2022-06,15,15,2022,4
50,50,NK-T3CqwkJvZsSFtJywGgwLAW,Vessel,YU SON,,,,,8691702,DPRK tanker M/V YU SON is believed to have been involved in ship-to-ship transfer operations for oil.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
51,51,NK-TN3uEa2YbCNMimZY9NXGKE,LegalEntity,Belagroprombank,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
52,52,NK-TsnsTYDD5QeZ9gDbFB2WbU,LegalEntity,GAZPROM NEFT,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
53,53,NK-UajgW9s3z4jVBCx8hhVGVX,Vessel,KUM UN SAN 3,,,,,8705539,"The DPRK oil tanker KUM UN SAN 3 engaged in a ship-to-ship transfer, likely for oil, with the M/V NEW REGENT on June 7, 2018.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
54,54,NK-Uye5Pi4wNs4ZPPicqLvLGr,LegalEntity,UNITED AIRCRAFT CORPORATION,,,,,,"""""",,,EU Sanctions Map,20220722,,20220722,,2022-07,12,12,2022,1
55,55,NK-V4R9vPDp9u2gXKuJd7qokQ,LegalEntity,URALVAGONZAVOD,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
56,56,NK-VAx3JpA27BMgN6qq8JjDZp,Vessel,YUK TUNG,,,,,9030591,"M/V YUK TUNG engaged in a ship-to-ship transfer, likely for oil, with M/V RYE SONG GANG in January 2018.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
57,57,NK-VCpUUPAd4D3H8RmNbR8Rxk,Vessel,XIN GUANG HAI,,,,,9004700,"Merchant vessel M/V XIN GUANG HAI loaded DPRK coal at Taean, DPRK, on 27 October 2017 and transferred it to Port Klang, Malaysia, on 18 December 2017",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
58,58,NK-VutJrQEpDoTfZZkuK2Sbn5,LegalEntity,Rossiya RTR / RTR Planeta,,,,,,"""""",,,EU Sanctions Map,20220712,,20220712,,2022-07,12,12,2022,1
59,59,NK-W2NLhJy8PwrWPtC4D6TSo2,LegalEntity,NTV/NTV Mir,,,,,,"""""",,,EU Sanctions Map,20230310,,20230310,,2023-03,10,10,2023,3
60,60,NK-XjmbUEmcRtdmLJ6VzdwHew,LegalEntity,RT - Russia Today Spanish,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
61,61,NK-XwWisWZ6gohqkrckJUbBfi,LegalEntity,Bank Rossiya,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
62,62,NK-XznRvgjAxsdunNFNsGzTBq,LegalEntity,OPK OBORONPROM,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
63,63,NK-Y2cRUeLzdU7urKuzLAebbE,LegalEntity,Sovcombank,,,,,,"""""",,,EU Sanctions Map,20220722,,20220722,,2022-07,12,12,2022,1
64,64,NK-Y6qXTPJUDa6PaygWwsXdeD,Vessel,SAM JONG 2,,,,,7408873,DPRK merchant vessel M/V SAM JONG 2 was involved in ship-to-ship transfer operations of oil in late January 2018.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
65,65,NK-YaBT55deyV2Auvu8ktCrR6,LegalEntity,RT - Russia Today France,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
66,66,NK-ZSSebjH9yRgcpaf5Y5CWNp,Person,Abdulqader Mohammed AL-BAGHDADI,,,,,,"""""",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
67,67,NK-ZWWcQbDKhHMuSE2LyYNvz7,Vessel,CHON MYONG 1,,,,,8712362,"DPRK oil tanker M/V CHON MYONG 1 conducted a ship-to-ship transfer, likely for oil, in late December 2017.",,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
68,68,NK-aeTaysGUfbjfo396aeguRU,Vessel,NAM SAN 8,,,,,8122347,DPRK crude oil tanker M/V NAM SAN 8 is believed to have been involved in ship-to-ship transfer operations for oil.,,,EU Sanctions Map,20220510,,20220510,,2022-05,83,83,2022,2
